"Judul Tugas,Deadline,Prioritas,Durasi,Kesulitan"
"Belajar Matematika Diskrit,2024-12-12,Tinggi,5,Sulit"
"Kerjakan Laporan Machine Learning,2024-12-15,Sedang,3,Sedang"
"Revisi Proposal,2024-12-10,Rendah,2,Mudah"
"Latihan Presentasi,2024-12-14,Tinggi,4,Sedang"
"Kumpulkan Data Penelitian,2024-12-11,Sedang,6,Sulit"
"Analisis Dataset,2024-12-13,Tinggi,4,Sulit"
"Menyusun Infografis,2024-12-16,Rendah,1,Mudah"
"Buat Presentasi Kelompok 8,2024-12-20,Sedang,4,Sulit"
"Persiapkan Seminar 9,2024-12-18,Rendah,3,Sedang"
"Selesaikan PR Statistik 10,2024-12-18,Rendah,2,Sedang"
"Buat Presentasi Kelompok 11,2024-12-11,Tinggi,2,Sedang"
"Buat Presentasi Kelompok 12,2024-12-20,Rendah,1,Sulit"
"Selesaikan PR Statistik 13,2024-12-12,Tinggi,3,Mudah"
"Buat Presentasi Kelompok 14,2024-12-19,Sedang,5,Mudah"
"Diskusi Kelompok 15,2024-12-17,Tinggi,6,Sulit"
"Revisi Tugas Akhir 16,2024-12-17,Sedang,1,Sulit"
"Update Portofolio 17,2024-12-12,Tinggi,6,Sedang"
"Persiapkan Seminar 18,2024-12-16,Tinggi,3,Sulit"
"Update Portofolio 19,2024-12-11,Rendah,6,Sulit"
"Persiapkan Seminar 20,2024-12-10,Tinggi,2,Sedang"
"Persiapkan Seminar 21,2024-12-14,Sedang,1,Sedang"
"Persiapkan Seminar 22,2024-12-12,Rendah,6,Sulit"
"Persiapkan Seminar 23,2024-12-17,Rendah,4,Sulit"
"Revisi Tugas Akhir 24,2024-12-19,Sedang,5,Sulit"
"Review Materi Kuliah 25,2024-12-12,Sedang,6,Sulit"
"Kumpulkan Data Observasi 26,2024-12-19,Tinggi,1,Sulit"
"Belajar Algoritma 27,2024-12-17,Sedang,5,Mudah"
"Review Materi Kuliah 28,2024-12-17,Tinggi,3,Sulit"
"Kerjakan Soal Ujian 29,2024-12-16,Rendah,1,Mudah"
"Kerjakan Soal Latihan 30,2024-12-11,Tinggi,1,Mudah"
"Eksperimen di Lab 31,2024-12-15,Tinggi,1,Sedang"
"Diskusi Kelompok 32,2024-12-15,Sedang,1,Sulit"
"Eksperimen di Lab 33,2024-12-10,Rendah,1,Sulit"
"Selesaikan PR Statistik 34,2024-12-20,Sedang,2,Mudah"
"Kerjakan Soal Ujian 35,2024-12-18,Rendah,1,Sulit"
"Kerjakan Soal Latihan 36,2024-12-15,Tinggi,2,Sedang"
"Persiapkan Seminar 37,2024-12-18,Sedang,6,Mudah"
"Review Materi Kuliah 38,2024-12-14,Rendah,6,Mudah"
"Kerjakan Soal Latihan 39,2024-12-15,Rendah,4,Sulit"
"Kumpulkan Data Observasi 40,2024-12-10,Tinggi,6,Mudah"
"Kumpulkan Data Observasi 41,2024-12-16,Sedang,2,Sulit"
"Kumpulkan Data Observasi 42,2024-12-19,Tinggi,3,Mudah"
"Baca Jurnal Referensi 43,2024-12-14,Tinggi,5,Sulit"
"Revisi Tugas Akhir 44,2024-12-19,Tinggi,5,Sedang"
"Review Materi Kuliah 45,2024-12-13,Sedang,1,Sedang"
"Baca Jurnal Referensi 46,2024-12-11,Tinggi,6,Sedang"
"Kumpulkan Data Observasi 47,2024-12-12,Rendah,5,Sulit"
"Eksperimen di Lab 48,2024-12-19,Sedang,5,Sulit"
"Revisi Tugas Akhir 49,2024-12-20,Sedang,2,Sulit"
"Analisis Hasil Penelitian 50,2024-12-19,Sedang,1,Mudah"
"Scroll Media Sosial 51,2024-12-14,Rendah,6,Mudah"
"Latihan Coding 52,2024-12-12,Tinggi,6,Mudah"
"Baca Artikel Hiburan 53,2024-12-14,Rendah,4,Sedang"
"Revisi Tugas Akhir 54,2024-12-12,Tinggi,3,Mudah"
"Update Portofolio 55,2024-12-14,Sedang,2,Sedang"
"Update Portofolio 56,2024-12-20,Sedang,5,Sedang"
"Diskusi Kelompok 57,2024-12-19,Sedang,3,Mudah"
"Main Game Online 58,2024-12-16,Rendah,3,Mudah"
"Kumpulkan Data Observasi 59,2024-12-16,Sedang,2,Sulit"
"Analisis Hasil Penelitian 60,2024-12-11,Sedang,4,Mudah"
"Revisi Tugas Akhir 61,2024-12-13,Tinggi,1,Mudah"
"Scroll Media Sosial 62,2024-12-12,Rendah,2,Sedang"
"Main Game Online 63,2024-12-13,Rendah,1,Sedang"
"Main Game Online 64,2024-12-11,Rendah,6,Sedang"
"Kumpulkan Data Observasi 65,2024-12-15,Sedang,2,Sulit"
"Latihan Coding 66,2024-12-17,Tinggi,2,Mudah"
"Revisi Tugas Akhir 67,2024-12-14,Tinggi,6,Sulit"
"Baca Artikel Hiburan 68,2024-12-20,Rendah,4,Sedang"
"Main Game Online 69,2024-12-14,Rendah,3,Sedang"
"Kerjakan Soal Ujian 70,2024-12-13,Tinggi,3,Mudah"
"Revisi Tugas Akhir 71,2024-12-12,Tinggi,2,Sedang"
"Baca Jurnal Referensi 72,2024-12-13,Sedang,1,Mudah"
"Kumpulkan Data Observasi 73,2024-12-17,Sedang,5,Sulit"
"Update Portofolio 74,2024-12-11,Sedang,2,Sulit"
"Kerjakan Soal Ujian 75,2024-12-18,Tinggi,1,Sedang"
"Baca Artikel Hiburan 76,2024-12-19,Rendah,4,Sulit"
"Persiapkan Seminar 77,2024-12-16,Sedang,2,Sulit"
"Latihan Coding 78,2024-12-17,Tinggi,2,Sedang"
"Latihan Coding 79,2024-12-13,Tinggi,1,Sulit"
"Kumpulkan Data Observasi 80,2024-12-16,Sedang,6,Sedang"
"Latihan Coding 81,2024-12-10,Tinggi,1,Mudah"
"Eksperimen di Lab 82,2024-12-14,Sedang,6,Sedang"
"Main Game Online 83,2024-12-17,Rendah,3,Sedang"
"Eksperimen di Lab 84,2024-12-20,Sedang,4,Mudah"
"Kerjakan Soal Ujian 85,2024-12-14,Tinggi,5,Sedang"
"Buat Presentasi Kelompok 86,2024-12-19,Tinggi,6,Sedang"
"Nonton Film Random 87,2024-12-13,Rendah,3,Sulit"
"Update Portofolio 88,2024-12-18,Sedang,3,Mudah"
"Revisi Tugas Akhir 89,2024-12-19,Tinggi,6,Sedang"
"Eksperimen di Lab 90,2024-12-14,Sedang,4,Sulit"
"Scroll Media Sosial 91,2024-12-10,Rendah,4,Mudah"
"Main Game Online 92,2024-12-18,Rendah,3,Mudah"
"Kerjakan Soal Ujian 93,2024-12-13,Tinggi,4,Mudah"
"Scroll Media Sosial 94,2024-12-19,Rendah,6,Sulit"
"Baca Artikel Hiburan 95,2024-12-11,Rendah,4,Sulit"
"Latihan Coding 96,2024-12-18,Tinggi,2,Mudah"
"Baca Jurnal Referensi 97,2024-12-13,Sedang,5,Mudah"
"Diskusi Kelompok 98,2024-12-16,Sedang,3,Sulit"
"Diskusi Kelompok 99,2024-12-12,Sedang,1,Mudah"
"Revisi Tugas Akhir 100,2024-12-20,Tinggi,1,Sedang"
